#~~~                                                                                                             ~~~
#~~ These are the galaxies with HI interferometric observations used to make Fig. 4 in Papastergis & Shankar 2015 ~~
#~~~                                                                                                             ~~~
#
#name, sample, Rout,   Vout, Vout_err_low, Vout_err_high, Vrot,    M*,    Mbar,  Vh_nfw, Mh_nfw,  Vh_dc14,  Mh_dc14
# ()    ()     (kpc)  (km/s)    (km/s)        (km/s)      (km/s) (Msun)  (Msun)   (km/s)  (Msun)   (km/s)   (Msun) 
#---------------------------------------------------
UGC5414,WHISP_Swaters11,4.35,62.5,2.65,2.35,64.8,9.32,9.47,79.7,10.97,281.4,12.72
UGC7323,WHISP_Swaters11,5.88,86.2,3.50,3.90,82.4,9.84,9.90,119.8,11.53,444.5,13.36
UGC7399,WHISP_Swaters11,11.00,109.5,2.80,2.50,105.9,9.12,9.36,129.2,11.64,211.4,12.34
UGC7524,WHISP_Swaters11,7.62,84.4,3.80,4.10,83.8,9.52,9.66,103.3,11.33,292.1,12.78
UGC7559,WHISP_Swaters11,2.09,34.8,3.10,2.90,38.6,7.76,8.18,45.9,10.19,91.0,11.15
UGC7577,WHISP_Swaters11,2.28,21.0,3.05,3.10,18.7,8.52,8.64,24.8,9.32,23.6,9.59
UGC7603,WHISP_Swaters11,5.93,65.0,2.50,3.20,69.7,9.04,9.26,76.8,10.91,180.7,12.13
UGC8490,WHISP_Swaters11,10.70,78.1,3.67,3.70,75.5,9.20,9.42,85.6,11.07,82.2,10.93
UGC9211,WHISP_Swaters11,8.26,65.7,3.90,4.60,71.7,8.76,9.29,74.0,10.86,77.7,10.95
UGC11707,WHISP_Swaters11,13.86,95.6,2.70,3.10,100.2,9.72,10.01,103.3,11.33,97.9,11.10
UGC12060,WHISP_Swaters11,10.27,74.9,4.00,4.90,88.3,9.44,9.71,83.6,11.03,79.6,10.81
UGC12632,WHISP_Swaters11,8.54,76.9,3.00,3.00,78.3,9.12,9.39,86.8,11.08,86.0,11.04
UGC12732,WHISP_Swaters11,15.36,98.6,2.70,3.40,95.3,9.48,9.89,105.9,11.36,102.4,11.24
UGC5716,Trachternach,9.53,66.9,2.60,3.00,71.5,7.56,9.08,72.0,10.82,73.3,10.86
LSBC D500-3,Trachternach,1.67,45.0,2.50,2.50,50.7,7.13,8.01,81.7,11.00,93.2,11.15
LSBC D512-2,Trachternach,3.55,34.5,4.80,5.10,44.6,7.71,8.15,42.0,10.07,49.1,10.36
LSBC D564-08,Trachternach,2.27,25.0,2.00,2.10,26.9,6.88,7.46,28.5,9.52,31.2,9.73
UGC8011,Trachternach,7.46,73.5,10.40,9.80,70.9,7.45,8.64,95.2,11.21,100.2,11.25
AM0605-341,LVHIS,4.31,85.1,2.60,2.60,82.9,7.69,0.00,139.6,11.75,144.8,11.77
Argo,LVHIS,5.42,57.3,3.50,3.50,57.5,7.49,0.00,67.1,10.72,75.2,10.89
ESO059-G001,LVHIS,4.32,61.8,2.80,2.80,60.1,7.73,0.00,79.4,10.96,104.5,11.33
ESO121-G020,LVHIS,3.32,48.7,3.10,3.10,36.6,6.93,0.00,62.5,10.63,68.8,10.72
ESO137-G018,LVHIS,5.64,80.0,2.90,2.80,90.1,8.81,0.00,105.6,11.36,212.5,12.32
ESO174-G?001,LVHIS,7.44,66.0,3.70,5.00,55.2,8.29,0.00,76.5,10.91,91.8,11.21
ESO215-G?009,LVHIS,9.62,52.8,3.90,3.70,56.7,7.01,0.00,57.0,10.50,56.3,10.48
ESO245-G005,LVHIS,6.52,50.9,3.40,3.40,51.0,7.89,0.00,56.1,10.47,59.4,10.62
ESO308-G022,LVHIS,4.02,39.8,3.10,3.10,38.9,7.09,0.00,45.6,10.18,48.7,10.31
ESO325-G?011,LVHIS,3.11,45.9,5.10,5.10,43.3,7.25,0.00,62.8,10.63,77.6,10.90
ESO381-G020,LVHIS,4.79,46.8,2.40,2.40,47.6,7.53,0.00,52.3,10.38,57.9,10.57
IC5152,LVHIS,3.79,59.6,6.50,6.80,56.3,7.89,0.00,89.0,11.12,126.9,11.59
UGCA442,Cote,3.63,56.5,0.70,0.70,35.6,7.83,8.26,70.5,10.80,106.1,11.35
SDIG,Cote,1.24,19.4,0.70,0.60,14.9,6.40,7.00,21.7,9.13,25.6,9.44
DDO161,Cote,6.25,66.0,1.30,1.30,60.7,8.32,8.79,74.3,10.87,100.7,11.33
ESO444-G084,Cote,3.22,63.0,1.20,1.40,56.6,8.18,8.39,92.7,11.18,159.6,11.91
UGC6399,VerheijenSancisi,8.12,88.0,5.00,5.00,89.3,9.23,9.45,108.9,11.40,237.0,12.49
UGC6446,VerheijenSancisi,15.85,80.0,11.00,11.00,84.9,9.05,9.74,92.4,11.17,92.7,11.19
NGC3726,VerheijenSancisi,33.65,167.0,15.00,15.00,163.2,10.47,10.59,189.2,12.17,181.6,11.98
NGC3769,VerheijenSancisi,38.41,113.0,11.00,11.00,122.6,10.03,10.24,124.2,11.59,129.0,11.49
UGC6667,VerheijenSancisi,8.12,86.0,3.00,3.00,89.1,9.35,9.53,101.9,11.31,241.6,12.52
NGC3877,VerheijenSancisi,11.74,169.0,7.00,7.00,177.5,10.60,10.62,272.4,12.67,715.5,14.27
NGC3893,VerheijenSancisi,20.99,148.0,19.00,19.00,184.1,10.52,10.61,187.0,12.15,488.1,13.55
NGC3917,VerheijenSancisi,15.31,137.0,8.00,8.00,142.2,10.05,10.14,168.9,12.01,414.8,13.27
NGC3949,VerheijenSancisi,7.30,169.0,8.00,8.00,157.7,10.29,10.39,437.5,13.33,725.2,14.22
NGC3953,VerheijenSancisi,16.23,215.0,10.00,10.00,234.4,10.86,10.89,352.1,13.03,790.4,14.54
NGC3972,VerheijenSancisi,9.04,134.0,5.00,5.00,133.8,9.93,10.01,205.4,12.28,515.3,13.59
UGC6917,VerheijenSancisi,10.82,111.0,7.00,7.00,114.3,9.53,9.79,140.5,11.76,308.2,12.85
UGC6923,VerheijenSancisi,5.52,81.0,5.00,5.00,81.2,9.24,9.45,114.2,11.47,297.7,12.78
UGC6930,VerheijenSancisi,17.15,108.0,7.00,7.00,118.5,9.51,9.89,120.3,11.54,120.0,11.52
NGC3992,VerheijenSancisi,36.09,237.0,9.00,9.00,278.3,10.78,10.83,275.1,12.69,535.9,13.74
UGC6940,VerheijenSancisi,1.79,37.0,4.00,4.00,21.0,8.04,8.53,57.3,10.50,133.3,11.66
UGC6962,VerheijenSancisi,5.41,171.0,7.00,7.00,151.5,9.60,9.70,654.0,13.88,610.4,13.87
NGC4010,VerheijenSancisi,10.82,122.0,2.00,2.00,132.1,10.02,10.16,152.0,11.87,453.7,13.40
UGC6969,VerheijenSancisi,4.60,79.0,5.00,5.00,63.6,8.61,9.03,122.3,11.56,216.9,12.34
UGC6973,VerheijenSancisi,8.12,180.0,8.00,8.00,185.3,10.39,10.43,451.8,13.37,754.0,14.31
UGC6983,VerheijenSancisi,16.23,109.0,12.00,12.00,114.6,9.44,9.84,129.4,11.64,151.9,11.90
NGC4051,VerheijenSancisi,12.61,153.0,10.00,10.00,148.8,10.51,10.56,223.9,12.40,650.9,14.07
NGC4085,VerheijenSancisi,6.38,136.0,7.00,7.00,129.0,10.00,10.06,296.0,12.79,606.4,13.87
NGC4088,VerheijenSancisi,22.18,174.0,8.00,8.00,183.2,10.69,10.78,207.8,12.30,569.1,13.84
NGC4100,VerheijenSancisi,23.54,159.0,9.00,9.00,198.9,10.49,10.55,183.0,12.12,167.8,11.86
NGC4102,VerheijenSancisi,4.49,178.0,12.00,12.00,194.4,10.52,10.53,1032.8,14.50,887.8,14.62
NGC4157,VerheijenSancisi,30.68,185.0,14.00,14.00,202.3,10.71,10.80,215.3,12.35,197.9,12.09
NGC4183,VerheijenSancisi,21.75,113.0,11.00,11.00,117.4,9.79,10.06,127.2,11.62,124.1,11.50
NGC4217,VerheijenSancisi,17.15,178.0,12.00,12.00,198.3,10.65,10.68,247.4,12.54,664.8,14.14
NGC4389,VerheijenSancisi,5.52,110.0,8.00,8.00,107.6,10.00,10.03,216.7,12.36,577.1,13.78
UGC2885,Sanders,75.38,297.6,8.60,10.90,306.0,11.49,11.56,317.4,12.89,312.3,12.75
NGC5533,Sanders,74.81,227.9,4.60,4.50,274.7,11.28,11.35,232.7,12.46,234.6,12.45
NGC6674,Sanders,69.22,241.5,5.30,4.20,303.8,10.87,11.05,247.7,12.54,247.6,12.42
NGC5907,Sanders,31.95,213.3,4.90,5.80,233.0,10.99,11.04,242.4,12.51,582.1,13.93
NGC2998,Sanders,46.59,197.1,5.50,5.50,209.3,10.78,10.95,206.2,12.29,205.3,12.14
NGC801,Sanders,56.48,216.3,3.00,3.00,222.9,11.00,11.12,221.8,12.39,222.9,12.28
NGC5371,Sanders,39.70,210.3,5.20,7.00,-1.0,11.06,11.10,228.7,12.43,-1.0,0.00
NGC5033,Sanders,35.33,195.6,5.40,4.30,235.3,10.31,10.48,210.5,12.32,209.8,12.29
NGC2683,Sanders,27.27,151.0,11.80,12.60,214.6,10.54,10.55,171.6,12.03,162.1,11.83
NGC6946,Sanders,25.10,165.8,4.30,4.60,-1.0,10.43,10.74,183.8,12.13,-1.0,0.00
UGC128,Sanders,42.46,130.1,7.60,8.10,-1.0,9.76,10.17,138.3,11.73,138.5,11.71
NGC1003,Sanders,32.68,114.9,2.20,1.70,109.2,10.21,10.40,116.7,11.50,120.3,11.45
NGC247,Sanders,9.02,95.9,2.40,2.50,109.2,9.60,9.79,114.2,11.47,302.0,12.82
M33,Sanders,8.33,106.9,1.50,2.40,-1.0,9.68,9.79,139.4,11.75,-1.0,0.00
NGC300,Sanders,12.20,94.2,12.70,11.90,-1.0,9.34,9.55,116.2,11.49,-1.0,0.00
NGC2915,Sanders,11.99,89.2,2.60,2.90,93.9,9.40,9.59,97.2,11.24,92.4,11.07
NGC55,Sanders,9.70,87.9,2.40,2.60,-1.0,9.00,9.37,99.1,11.27,-1.0,0.00
AGC110482,SHIELD,1.59,37.7,2.70,2.80,21.0,7.74,7.90,60.8,10.59,116.4,11.47
AGC111164,SHIELD,0.82,22.1,2.50,2.50,17.0,7.00,7.19,36.1,9.85,68.3,10.72
AGC111977,SHIELD,1.42,17.2,2.30,2.40,15.0,7.57,7.67,20.8,9.07,19.5,8.87
AGC112521,SHIELD,1.28,22.1,2.50,2.60,16.0,6.85,7.22,28.8,9.53,45.6,10.20
AGC174585,SHIELD,1.07,15.1,3.00,3.00,16.0,6.95,7.29,19.8,9.01,31.3,9.74
AGC174605,SHIELD,1.85,16.5,3.40,3.40,20.0,7.45,7.72,20.5,9.05,20.0,8.85
AGC182595,SHIELD,2.19,18.8,3.40,3.40,17.0,7.70,7.80,22.7,9.19,22.4,9.04
AGC731457,SHIELD,2.16,18.0,2.50,2.50,23.0,7.81,7.95,20.8,9.07,20.6,9.03
AGC748778,SHIELD,1.17,23.0,4.40,4.40,18.0,6.48,6.97,35.5,9.83,46.7,10.19
AGC749237,SHIELD,2.39,33.9,2.30,2.40,39.0,7.72,8.11,41.1,10.04,72.0,10.86
AGC749241,SHIELD,1.16,22.1,5.30,5.40,24.0,6.60,7.06,35.8,9.84,49.8,10.28
LeoP,LeoP,0.47,12.5,2.50,2.50,13.0,5.75,6.22,20.2,9.03,28.4,9.48
CVnIdwA,LITTLE_THINGS,2.59,23.5,1.69,1.69,15.5,6.63,7.50,25.7,9.37,26.3,9.49
DDO46,LITTLE_THINGS,2.92,66.1,4.27,4.27,77.3,7.62,8.40,120.0,11.54,133.7,11.66
DDO47,LITTLE_THINGS,7.71,64.7,2.01,2.01,47.0,-1.00,0.00,70.3,10.79,-1.0,0.00
DDO50,LITTLE_THINGS,9.81,35.7,4.01,4.01,37.2,8.01,9.13,40.3,10.01,40.1,10.00
DDO52,LITTLE_THINGS,5.43,60.2,4.54,4.54,60.6,7.79,8.58,73.4,10.85,90.2,11.15
DDO70,LITTLE_THINGS,2.00,43.9,3.26,3.26,27.0,7.18,7.71,70.0,10.78,87.9,11.07
DDO87,LITTLE_THINGS,7.39,56.6,3.01,3.01,40.7,7.65,8.50,61.6,10.61,64.5,10.71
DDO101,LITTLE_THINGS,1.95,64.5,2.54,2.54,63.2,7.79,7.98,161.8,11.95,160.6,11.94
DDO126,LITTLE_THINGS,3.99,37.2,2.37,2.37,34.1,7.28,8.24,41.1,10.04,44.2,10.20
DDO133,LITTLE_THINGS,3.48,46.1,2.14,2.14,41.3,7.45,8.18,55.3,10.45,70.9,10.81
DDO154,LITTLE_THINGS,7.32,47.8,5.08,5.08,47.3,7.04,8.54,53.8,10.41,54.2,10.43
DDO168,LITTLE_THINGS,3.14,60.3,4.93,4.93,42.7,7.74,8.48,96.9,11.24,128.3,11.60
DDO216,LITTLE_THINGS,1.12,18.9,2.69,2.69,11.5,7.19,7.30,24.8,9.32,52.4,10.41
F564-V3,LITTLE_THINGS,3.71,28.8,4.52,4.52,30.2,7.95,8.12,34.0,9.77,33.2,9.64
IC10,LITTLE_THINGS,0.54,36.5,3.42,3.42,44.0,8.07,8.12,210.8,12.32,199.1,12.24
IC1613,LITTLE_THINGS,2.71,16.9,2.32,2.32,15.6,7.40,7.91,19.5,8.98,20.1,8.86
NGC1569,LITTLE_THINGS,3.05,29.1,2.68,2.68,39.6,8.45,8.68,33.1,9.73,31.3,9.65
NGC2366,LITTLE_THINGS,8.08,58.2,3.07,3.07,55.0,8.03,9.05,63.1,10.64,65.9,10.76
NGC3738,LITTLE_THINGS,1.75,125.5,5.06,5.06,90.7,8.46,8.61,1358.4,14.87,987.5,14.86
WLM,LITTLE_THINGS,3.04,37.3,4.26,4.26,30.8,7.15,7.95,46.5,10.21,55.4,10.47
Haro29,LITTLE_THINGS,5.03,30.5,4.24,4.24,26.5,7.15,8.01,34.9,9.80,35.3,9.90
Haro36,LITTLE_THINGS,3.16,58.2,8.20,8.20,37.1,7.76,8.22,99.7,11.28,131.8,11.64
NGC5585,Sanders,8.87,89.3,2.80,2.80,93.9,8.98,9.38,104.2,11.34,175.4,12.09
